COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,MAR2010,March 2010,2010,3,March,Non-renewables,2726.506,23,34232.823,,0.6097744856961064
Chile,MAR2010,March 2010,2010,3,March,Others,516.403,24,8134.076,,0.1154919056612846
Chile,MAR2010,March 2010,2010,3,March,Other renewables aggregated,148.919,25,2128.172,,0.0333052656533227
Chile,MAR2010,March 2010,2010,3,March,Low carbon,1754.162,26,24213.17,,0.3923128103798977
Chile,MAR2010,March 2010,2010,3,March,Fossil fuels,2726.506,27,34232.823,,0.6097744856961064
Chile,APR2010,April 2010,2010,4,April,Hydro,1740.416,1,21641.001,,0.3807497796445128
Chile,APR2010,April 2010,2010,4,April,Wind,20.359,2,332.001,,0.0044539263967825
Chile,APR2010,April 2010,2010,4,April,Total combustible fuels,2800.916,7,36249.001,,0.6127547378343973
Chile,APR2010,April 2010,2010,4,April,Coal,1154.644,8,15974.071,,0.252600785425932
Chile,APR2010,April 2010,2010,4,April,Oil,748.172,9,8022.08,,0.1636771462318172
Chile,APR2010,April 2010,2010,4,April,Natural gas,745.274,10,10124.676,,0.1630431524846844
Chile,APR2010,April 2010,2010,4,April,Combustible renewables,152.826,11,2128.172,,0.0334336536919634
Chile,APR2010,April 2010,2010,4,April,Not specified,9.333,13,111.996,,0.0020417748937163
Chile,APR2010,April 2010,2010,4,April,Net electricity production,4571.023,14,58334.001,,1.0
Chile,APR2010,April 2010,2010,4,April,Total imports,122.836,15,958.0,,0.0268727591175979
Chile,APR2010,April 2010,2010,4,April,Electricity supplied,4693.859,17,59292.001,,1.026872759117598
Chile,APR2010,April 2010,2010,4,April,Distribution losses,391.183,19,4967.0,,0.0855788737007011
Chile,APR2010,April 2010,2010,4,April,Final consumption,4302.676,20,54325.001,,0.9412938854168968
Chile,APR2010,April 2010,2010,4,April,Electricity trade,-122.836,21,-958.0,,-0.0268727591175979
Chile,APR2010,April 2010,2010,4,April,Renewables,1913.601,22,24101.174,,0.4186373597332588
Chile,APR2010,April 2010,2010,4,April,Non-renewables,2657.423,23,34232.823,,0.58136285903615
